1,1,1,101,302,102,104,7,7,108,10,11,115,118
300,2,300,101,302,102,104,7,7,308,10,11,315,317
3,1,1,3,5,5,104,7,7,108,10,11,115,118
4,100,300,4,112,102,104,7,7,308,10,11,315,317
0,100,300,101,302,102,104,7,7,308,10,11,315,317
6,100,300,101,302,102,104,7,103,308,10,11,315,317
105,100,300,101,302,102,7,8,7,308,10,11,315,317
106,100,300,101,302,102,104,7,7,308,10,11,315,317
107,100,300,101,302,102,104,7,7,308,10,11,315,317
9,100,300,101,302,102,104,7,7,109,10,11,116,117
110,100,300,101,302,102,104,7,7,308,10,11,315,317
111,100,300,101,302,102,104,7,7,308,10,11,315,317
10,100,300,101,302,102,104,7,7,308,113,11,315,317
11,100,300,101,302,102,104,7,7,308,10,114,315,317
12,100,300,101,302,102,104,7,7,308,10,11,315,317
13,100,300,101,302,102,104,7,7,308,10,11,315,317
119,100,300,101,302,102,104,7,7,308,10,11,315,317
120,100,300,101,302,102,104,7,7,308,10,11,315,317
121,100,300,101,302,102,104,7,7,308,10,11,315,317
122,100,300,101,302,102,104,7,7,308,10,11,315,317
124,100,300,101,302,102,104,7,7,308,10,11,315,317
123,100,300,101,302,102,104,7,7,308,10,11,315,317
